AFFGEOID,NAME,POPEST_2017
0500000US06027,"Inyo County, California",18026
0500000US06029,"Kern County, California",893119
0500000US06031,"Kings County, California",150101
0500000US06033,"Lake County, California",64246
0500000US06035,"Lassen County, California",31163
0500000US06037,"Los Angeles County, California",10163507
0500000US06039,"Madera County, California",156890
0500000US06041,"Marin County, California",260955
0500000US06043,"Mariposa County, California",17569
0500000US06045,"Mendocino County, California",88018
0500000US06047,"Merced County, California",272673
0500000US06049,"Modoc County, California",8859
0500000US06051,"Mono County, California",14168
0500000US06053,"Monterey County, California",437907
0500000US06055,"Napa County, California",140973
0500000US06057,"Nevada County, California",99814
0500000US06059,"Orange County, California",3190400
0500000US06061,"Placer County, California",386166
0500000US06063,"Plumas County, California",18742
0500000US06065,"Riverside County, California",2423266
0500000US06067,"Sacramento County, California",1530615
0500000US06069,"San Benito County, California",60310
0500000US06071,"San Bernardino County, California",2157404
0500000US06073,"San Diego County, California",3337685
0500000US06075,"San Francisco County, California",884363
0500000US06077,"San Joaquin County, California",745424
0500000US06079,"San Luis Obispo County, California",283405
0500000US06081,"San Mateo County, California",771410
0500000US06083,"Santa Barbara County, California",448150
0500000US06085,"Santa Clara County, California",1938153
0500000US06087,"Santa Cruz County, California",275897
0500000US06089,"Shasta County, California",179921
0500000US06091,"Sierra County, California",2999
0500000US06093,"Siskiyou County, California",43853
0500000US06095,"Solano County, California",445458
0500000US06097,"Sonoma County, California",504217
0500000US06099,"Stanislaus County, California",547899
0500000US06101,"Sutter County, California",96648
0500000US06103,"Tehama County, California",63926
0500000US06105,"Trinity County, California",12709
0500000US06107,"Tulare County, California",464493
0500000US06109,"Tuolumne County, California",54248
0500000US06111,"Ventura County, California",854223
0500000US06113,"Yolo County, California",219116
0500000US06115,"Yuba County, California",77031
0500000US08001,"Adams County, Colorado",503167
0500000US08003,"Alamosa County, Colorado",16551
0500000US08005,"Arapahoe County, Colorado",643052
0500000US08007,"Archuleta County, Colorado",13315
0500000US08009,"Baca County, Colorado",3562
0500000US08011,"Bent County, Colorado",5938
0500000US08013,"Boulder County, Colorado",322514
0500000US08014,"Broomfield County, Colorado",68341
0500000US08015,"Chaffee County, Colorado",19638
0500000US08017,"Cheyenne County, Colorado",1845
0500000US08019,"Clear Creek County, Colorado",9574
0500000US08021,"Conejos County, Colorado",8184
0500000US08023,"Costilla County, Colorado",3776
0500000US08025,"Crowley County, Colorado",5810
0500000US08027,"Custer County, Colorado",4874
0500000US08029,"Delta County, Colorado",30568
0500000US08031,"Denver County, Colorado",704621
0500000US08033,"Dolores County, Colorado",2067
0500000US08035,"Douglas County, Colorado",335299
0500000US08037,"Eagle County, Colorado",54772
0500000US08039,"Elbert County, Colorado",25642
0500000US08041,"El Paso County, Colorado",699232
0500000US08043,"Fremont County, Colorado",47559
0500000US08045,"Garfield County, Colorado",59118
0500000US08047,"Gilpin County, Colorado",6013
0500000US08049,"Grand County, Colorado",15321
0500000US08051,"Gunnison County, Colorado",16939
0500000US08053,"Hinsdale County, Colorado",794
0500000US08055,"Huerfano County, Colorado",6662
0500000US08057,"Jackson County, Colorado",1385
0500000US08059,"Jefferson County, Colorado",574613
0500000US08061,"Kiowa County, Colorado",1376
0500000US08063,"Kit Carson County, Colorado",7158
0500000US08065,"Lake County, Colorado",7778
0500000US08067,"La Plata County, Colorado",55589
0500000US08069,"Larimer County, Colorado",343976
0500000US08071,"Las Animas County, Colorado",14238
0500000US08073,"Lincoln County, Colorado",5546
0500000US08075,"Logan County, Colorado",21896
0500000US08077,"Mesa County, Colorado",151616
0500000US08079,"Mineral County, Colorado",766
0500000US08081,"Moffat County, Colorado",13131
0500000US08083,"Montezuma County, Colorado",26140
0500000US08085,"Montrose County, Colorado",41784
0500000US08087,"Morgan County, Colorado",28192
0500000US08089,"Otero County, Colorado",18326
0500000US08091,"Ouray County, Colorado",4794
0500000US08093,"Park County, Colorado",17905
0500000US08095,"Phillips County, Colorado",4292
0500000US08097,"Pitkin County, Colorado",17890
0500000US08099,"Prowers County, Colorado",12070
0500000US08101,"Pueblo County, Colorado",166475
0500000US08103,"Rio Blanco County, Colorado",6420
0500000US08105,"Rio Grande County, Colorado",11301
0500000US08107,"Routt County, Colorado",25220
0500000US08109,"Saguache County, Colorado",6626
0500000US08111,"San Juan County, Colorado",715
0500000US08113,"San Miguel County, Colorado",7967
0500000US08115,"Sedgwick County, Colorado",2344
0500000US08117,"Summit County, Colorado",30585
0500000US08119,"Teller County, Colorado",24646
0500000US08121,"Washington County, Colorado",4938
0500000US08123,"Weld County, Colorado",304633
0500000US08125,"Yuma County, Colorado",10075
0500000US09001,"Fairfield County, Connecticut",949921
0500000US09003,"Hartford County, Connecticut",895388
0500000US09005,"Litchfield County, Connecticut",182177
0500000US09007,"Middlesex County, Connecticut",163410
0500000US09009,"New Haven County, Connecticut",860435
0500000US09011,"New London County, Connecticut",269033
0500000US09013,"Tolland County, Connecticut",151461
0500000US09015,"Windham County, Connecticut",116359
0500000US10001,"Kent County, Delaware",176824
0500000US10003,"New Castle County, Delaware",559793
0500000US10005,"Sussex County, Delaware",225322
0500000US11001,"District of Columbia, District of Columbia",693972
0500000US12001,"Alachua County, Florida",266944
0500000US12003,"Baker County, Florida",28283
0500000US12005,"Bay County, Florida",183563
0500000US12007,"Bradford County, Florida",27038
0500000US12009,"Brevard County, Florida",589162
0500000US12011,"Broward County, Florida",1935878
0500000US12013,"Calhoun County, Florida",14483
0500000US12015,"Charlotte County, Florida",182033
0500000US12017,"Citrus County, Florida",145647
0500000US12019,"Clay County, Florida",212230
0500000US12021,"Collier County, Florida",372880
0500000US12023,"Columbia County, Florida",69612
0500000US12027,"DeSoto County, Florida",36862
0500000US12029,"Dixie County, Florida",16673
0500000US12031,"Duval County, Florida",937934
0500000US12033,"Escambia County, Florida",313512
0500000US12035,"Flagler County, Florida",110510
0500000US12037,"Franklin County, Florida",11727
0500000US12039,"Gadsden County, Florida",46071
0500000US12041,"Gilchrist County, Florida",17743
0500000US12043,"Glades County, Florida",13754
0500000US12045,"Gulf County, Florida",16160
0500000US12047,"Hamilton County, Florida",14184
0500000US12049,"Hardee County, Florida",27411
0500000US12051,"Hendry County, Florida",40347
0500000US12053,"Hernando County, Florida",186553
0500000US12055,"Highlands County, Florida",102883
0500000US12057,"Hillsborough County, Florida",1408566
0500000US12059,"Holmes County, Florida",19558
0500000US12061,"Indian River County, Florida",154383
0500000US12063,"Jackson County, Florida",48330
0500000US12065,"Jefferson County, Florida",14144
0500000US12067,"Lafayette County, Florida",8451
0500000US12069,"Lake County, Florida",346017
0500000US12071,"Lee County, Florida",739224
0500000US12073,"Leon County, Florida",290292
0500000US12075,"Levy County, Florida",40355
0500000US12077,"Liberty County, Florida",8242
0500000US12079,"Madison County, Florida",18449
0500000US12081,"Manatee County, Florida",385571
0500000US12083,"Marion County, Florida",354353
0500000US12085,"Martin County, Florida",159923
0500000US12086,"Miami-Dade County, Florida",2751796
0500000US12087,"Monroe County, Florida",77013
0500000US12089,"Nassau County, Florida",82721
0500000US12091,"Okaloosa County, Florida",202970
0500000US12093,"Okeechobee County, Florida",41605
0500000US12095,"Orange County, Florida",1348975
0500000US12097,"Osceola County, Florida",352180
0500000US12099,"Palm Beach County, Florida",1471150
0500000US12101,"Pasco County, Florida",525643
0500000US12103,"Pinellas County, Florida",970637
0500000US12105,"Polk County, Florida",686483
0500000US12107,"Putnam County, Florida",73464
0500000US12109,"St. Johns County, Florida",243812
0500000US12111,"St. Lucie County, Florida",313506
0500000US12113,"Santa Rosa County, Florida",174272
0500000US12115,"Sarasota County, Florida",419119
0500000US12117,"Seminole County, Florida",462659
0500000US12119,"Sumter County, Florida",125165
0500000US12121,"Suwannee County, Florida",44190
0500000US12123,"Taylor County, Florida",21833
0500000US12125,"Union County, Florida",15517
0500000US12127,"Volusia County, Florida",538692
0500000US12129,"Wakulla County, Florida",32120
0500000US12131,"Walton County, Florida",68376
0500000US12133,"Washington County, Florida",24567
0500000US13001,"Appling County, Georgia",18521
0500000US13003,"Atkinson County, Georgia",8342
0500000US13005,"Bacon County, Georgia",11319
0500000US13007,"Baker County, Georgia",3200
0500000US13009,"Baldwin County, Georgia",44906
0500000US13011,"Banks County, Georgia",18634
0500000US13013,"Barrow County, Georgia",79061
0500000US13015,"Bartow County, Georgia",105054
0500000US13017,"Ben Hill County, Georgia",16996
0500000US13019,"Berrien County, Georgia",19186
0500000US13021,"Bibb County, Georgia",152862
0500000US13023,"Bleckley County, Georgia",12830
0500000US13025,"Brantley County, Georgia",18731
